CENTRAL,NODO,NUMCRUCE,DIRECCION,TIPO
50,16,227,PLAZA DE VILLASIS VILLA - LARANA - ORFILA - CUNA,MF5
8,26,228,PP. AVENIDA RAMON CARANDE - PEDRO SALINAS,DYNAMIC
52,5,229,AVENIDA DE LA RAZA - PROFESOR GARCIA GONZALEZ,RTAC
5,10,230,PAGES DEL CORRO - SAN VICENTE DE PAUL - PURU—UELA - CLARA DE JESUS MONTERO,MTR/2
8,14,231,ALMIRANTE TOPETE - ESTEPA - CONCEPCION ARENAL,MTR/2
9,10,232,AVENIDA SAN JUAN DE LA CRUZ - CARLOS GARCIA OVIEDO,MTR/2
14,5,233,EFESO-TARSO- ADA-JERUSALEN,MFU
21,6,234,EDUARDO DATO - JIMENEZ ARANDA,DYNAMIC
1,23,235,JOSE LAGUILLO - LOPE DE VEGA,SENTINEL
2,20,236,AVENIDA LA BARZOLA - PUEBLO PALESTINO - SANCHO DAVILA,DYNAMIC_T3
14,14,237,AMOR-COLEGIO AMATE,MFU
50,24,238,PP. AVENIDA DE JEREZ - JAZMIN,MF5
3,12,239,MIRAFLORES - S.J. BOSCO,DYNAMIC
12,9,240,AVENIDA PINO MONTANO - ORFEBRE DOMINGUEZ VAZQUEZ - ROMERO,DYNAMIC_T3
10,1,241,AVENIDA LUIS MONTOTO - MAESE FARFAN,MF
7,16,242,AVENIDA DE LA RAZA - PAEZ DE RIVERA,MF5
7,15,243,AVENIDA MANUEL SIUROT - RAFAEL SALGADO,MF5
9,19,244,AVENIDA DIEGO MARTINEZ BARRIOS - AVION CUATRO VIENTOS,SENTINEL
9,20,245,AVENIDA DIEGO MARTINEZ BARRIOS - JOSE SARAMAGO - ANGEL GELAN,MTR/4
20,2,246,GLORIETA DE LETONIA - AVENIDA DE JEREZ - AVENIDA DE ALEMANIA - HOSPITAL MILITAR,MF5
2,15,247,P.P. CARDENAL ILUNDAIN,SENTINEL
12,7,248,AVENIDA PINO MONTANO - ESTAFETA - PROFESOR TIERNO GALVAN,DYNAMIC_T3
14,6,249,EFESO - AVENIDA DE LA SOLEA - DOCTOR   LAFFON SOTO,MFU
11,20,250,THARSIS - ANDRES SEGOVIA - CARMEN MARTINEZ SANCHO,MFU
14,10,251,AVENIDA MONTES SIERRA - AVENIDA SANTA CLARA DE CUBA - RAFAEL BECA MATEOS,MFU
14,9,252,AVENIDA SANTA CLARA DE CUBA - DAMASCO - ANTIOQUIA,MFU
14,7,253,DOCTOR LAFFON SOTO - TESALONICA - AVENIDA DE PEORO ROMERO,MFU
11,10,254,MACEDONIA-AVENIDA VILLAS DE CUBA,MFU
21,13,255,PP. AVENIDA DE PORTUGAL - GRAN CAPITAN,SENTINEL
5,8,256,ESPERANZA DE TRIANA - EVANGELISTA,MTR/2
15,3,257,AVENIDA ALCALDE LUIS URU—UELA - ACCESO CARREFOUR SAN PABLO,DYNAMIC_T3
15,29,258,GLORIETA PALACIO DE CONGRESOS - AVENIDA ALCALDE LUIS URU—UELA,MF5
12,17,259,AVENIDA DE LA MUJER TRABAJADORA - AVENIDA DE LAS ASOCIACIONES    DE VECINOS,MFU
11,21,260,ARROYO - THARSIS - VICENTE ALANIS,MFU
